gene,expt,time,expression
YBL005W-A,alpha,0,0.66
YBL005W-B,alpha,0,-0.09
YBL006C,alpha,0,-0.09
YBL007C,alpha,0,0.09
YBL008W,alpha,0,-0.42
YBL009W,alpha,0,-0.8
YBL010C,alpha,0,-0.28
YBL011W,alpha,0,-0.48
YBL012C,alpha,0,-0.34
YBL013W,alpha,0,-0.24
YBL014C,alpha,0,-0.01
YBL015W,alpha,0,-0.26
YBL016W,alpha,0,2.31
YBL017C,alpha,0,-0.18
YBL018C,alpha,0,-0.06
YBL019W,alpha,0,-0.04
YBL020W,alpha,0,0.29
YBL021C,alpha,0,-0.34
YBL022C,alpha,0,-0.1
YBL023C,alpha,0,-0.32
YBL024W,alpha,0,0.12
YBL025W,alpha,0,-0.15
YBL026W,alpha,0,0.17
YBL027W,alpha,0,-0.03
YBL028C,alpha,0,0.1
YBL029W,alpha,0,0.13
YBL030C,alpha,0,-0.07
YBL031W,alpha,0,-0.36
YBL032W,alpha,0,-0.8
YBL033C,alpha,0,-0.13
YBL034C,alpha,0,0.15
YBL035C,alpha,0,-0.39
YBL036C,alpha,0,0.02
YBL037W,alpha,0,-0.14
YBL038W,alpha,0,-0.21
YBL039C,alpha,0,0.14
YBL040C,alpha,0,0.07
YBL041W,alpha,0,0.1
YBL042C,alpha,0,0.2
YBL043W,alpha,0,0.1
YBL044W,alpha,0,-0.03
YBL045C,alpha,0,-0.14
YBL046W,alpha,0,-0.47
YBL047C,alpha,0,-0.27
YBL048W,alpha,0,0.01
YBL049W,alpha,0,-0.08
YBL050W,alpha,0,0.06
YBL051C,alpha,0,0.15
YBL052C,alpha,0,0.11
YBL053W,alpha,0,-0.07
YBL054W,alpha,0,0.37
YBL055C,alpha,0,0.36
YBL056W,alpha,0,-0.23
YBL057C,alpha,0,-0.01
YBL058W,alpha,0,-0.16
YBL059W,alpha,0,0.24
YBL060W,alpha,0,-0.01
YBL061C,alpha,0,0.15
YBL062W,alpha,0,0.26
YBL063W,alpha,0,-0.43
YBL064C,alpha,0,-0.23
YBL065W,alpha,0,NA
YBL066C,alpha,0,0.32
YBL067C,alpha,0,0.09
YBL068W,alpha,0,0.09
YBL069W,alpha,0,-0.25
YBL070C,alpha,0,-0.17
YBL071C,alpha,0,-0.09
YBL072C,alpha,0,-0.08
YBL073W,alpha,0,0.08
YBL074C,alpha,0,-0.24
YBL075C,alpha,0,-0.1
YBL076C,alpha,0,0
YBL077W,alpha,0,0.23
YBL078C,alpha,0,0.25
YBL079W,alpha,0,-0.17
YBL080C,alpha,0,-0.14
YBL081W,alpha,0,-0.05
YBL082C,alpha,0,-0.58
YBL083C,alpha,0,-0.49
YBL084C,alpha,0,0.23
YBL085W,alpha,0,0.05
YBL086C,alpha,0,-0.35
YBL087C,alpha,0,0.08
YBL088C,alpha,0,-0.32
YBL089W,alpha,0,-0.02
YBL090W,alpha,0,-0.09
YBL091C,alpha,0,0.07
YBL092W,alpha,0,0.02
YBL093C,alpha,0,-0.14
YBL094C,alpha,0,-0.34
YBL095W,alpha,0,-0.37
YBL096C,alpha,0,-0.17
YBL097W,alpha,0,-0.63
YBL098W,alpha,0,-0.56
YBL099W,alpha,0,-0.16
YBL100C,alpha,0,-0.27
YBL101C,alpha,0,0.17
YBL101W-A,alpha,0,0.51
YBL101W-B,alpha,0,0.37
YBL102W,alpha,0,-0.15
YBL103C,alpha,0,-0.12
YBL104C,alpha,0,-0.11
YBL105C,alpha,0,-0.22
YBL106C,alpha,0,0.09
YBL107C,alpha,0,0.03
YBL108W,alpha,0,0.12
YBL109W,alpha,0,-0.24
YBL111C,alpha,0,-0.66
YBL112C,alpha,0,-0.87
YBL113C,alpha,0,-0.61
YBR001C,alpha,0,-0.67
YBR002C,alpha,0,0.08
YBR003W,alpha,0,-0.01
YBR004C,alpha,0,0.71
YBR005W,alpha,0,1.55
YBR006W,alpha,0,-0.01
YBR007C,alpha,0,-0.09
YBR008C,alpha,0,-0.03
YBR009C,alpha,0,-2.36
YBR010W,alpha,0,-1.81
YBR011C,alpha,0,0.04
YBR012C,alpha,0,0.03
YBR012W-A,alpha,0,0.18
YBR012W-B,alpha,0,0.26
YBR013C,alpha,0,-0.17
YBR014C,alpha,0,-0.18
YBR015C,alpha,0,-0.31
YBR016W,alpha,0,0.41
YBR017C,alpha,0,-0.21
YBR018C,alpha,0,-0.19
YBR019C,alpha,0,-0.06
YBR020W,alpha,0,-0.33
YBR021W,alpha,0,-0.27
YBR022W,alpha,0,0.18
YBR023C,alpha,0,0.87
YBR024W,alpha,0,0.28
YBR025C,alpha,0,0.44
YBR026C,alpha,0,0
YBR027C,alpha,0,-0.18
YBR028C,alpha,0,-0.5
YBR029C,alpha,0,0.01
YBR030W,alpha,0,-0.03
YBR031W,alpha,0,-0.08
YBR032W,alpha,0,0.02
YBR033W,alpha,0,0.02
YBR034C,alpha,0,0.55
YBR035C,alpha,0,-0.24
YBR036C,alpha,0,-0.02
YBR037C,alpha,0,-0.23
YBR038W,alpha,0,-1.2
YBR039W,alpha,0,-0.45
YBR040W,alpha,0,4.95
YBR041W,alpha,0,-0.19
YBR042C,alpha,0,-0.47
YBR043C,alpha,0,-0.29
YBR044C,alpha,0,-0.17
YBR045C,alpha,0,0.08
YBR046C,alpha,0,-0.34
YBR047W,alpha,0,-0.05
YBR048W,alpha,0,0.03
YBR049C,alpha,0,-0.52
YBR050C,alpha,0,-0.21
YBR051W,alpha,0,1.49
YBR052C,alpha,0,-0.23
YBR053C,alpha,0,0.41
YBR054W,alpha,0,-1.35
YBR055C,alpha,0,0.11
YBR056W,alpha,0,0.22
YBR057C,alpha,0,0.21
YBR058C,alpha,0,0.11
YBR059C,alpha,0,0
YBR060C,alpha,0,-0.12
YBR061C,alpha,0,0.14
YBR062C,alpha,0,0
YBR063C,alpha,0,-0.24
YBR064W,alpha,0,-0.15
YBR065C,alpha,0,-0.23
YBR066C,alpha,0,0.17
YBR067C,alpha,0,1.57
YBR068C,alpha,0,0.28
YBR069C,alpha,0,-0.06
YBR070C,alpha,0,-0.91
YBR071W,alpha,0,-0.81
YBR072W,alpha,0,-0.03
YBR073W,alpha,0,-0.48
YBR074W,alpha,0,0.07
YBR075W,alpha,0,0.15
YBR076W,alpha,0,0.14
YBR077C,alpha,0,-0.17
YBR078W,alpha,0,-0.44
YBR079C,alpha,0,-0.04
YBR080C,alpha,0,-0.03
YBR081C,alpha,0,-0.29
YBR082C,alpha,0,-0.08
YBR083W,alpha,0,0.75
YBR084C-A,alpha,0,0.06
YBR084W,alpha,0,-0.14
YBR085W,alpha,0,-0.01
YBR086C,alpha,0,-0.2
YBR087W,alpha,0,-0.21
YBR088C,alpha,0,-1.15
YBR089W,alpha,0,-0.97
YBR089C-A,alpha,0,-0.86
YBR090C,alpha,0,-0.3
YBR091C,alpha,0,0.01
YBR092C,alpha,0,-0.11
YBR093C,alpha,0,-0.76
YBR094W,alpha,0,-0.14
YBR095C,alpha,0,-0.22
YBR096W,alpha,0,-0.22
YBR097W,alpha,0,-0.04
YBR098W,alpha,0,0.09
YBR099C,alpha,0,-0.14
YBR100W,alpha,0,-0.36
YBR101C,alpha,0,0.15
YBR102C,alpha,0,-0.19
YBR103W,alpha,0,0.18
YBR104W,alpha,0,-0.12
YBR105C,alpha,0,0.4
YBR106W,alpha,0,-0.33
YBR107C,alpha,0,0.03
YBR108W,alpha,0,-0.25
YBR109C,alpha,0,0.04
YBR110W,alpha,0,-0.2
YBR111C,alpha,0,0.02
YBR112C,alpha,0,-0.27
YBR113W,alpha,0,-0.28
YBR114W,alpha,0,0.53
YBR115C,alpha,0,-0.13
YBR116C,alpha,0,0.01
YBR117C,alpha,0,0.06
YBR118W,alpha,0,0.03
YBR119W,alpha,0,0.01
YBR120C,alpha,0,0.39
YBR121C,alpha,0,0
YBR122C,alpha,0,0.03
YBR123C,alpha,0,-0.12
YBR124W,alpha,0,-0.19
YBR125C,alpha,0,0.34
YBR126C,alpha,0,-0.03
YBR127C,alpha,0,0
YBR128C,alpha,0,0.06
YBR129C,alpha,0,0
YBR130C,alpha,0,-0.21
YBR131W,alpha,0,0.05
YBR132C,alpha,0,-0.12
YBR133C,alpha,0,-0.08
YBR134W,alpha,0,-0.03
YBR135W,alpha,0,-0.24
YBR136W,alpha,0,-0.5
YBR137W,alpha,0,0.05
YBR138C,alpha,0,-0.54
YBR139W,alpha,0,-0.42
YBR140C,alpha,0,0.2
YBR141C,alpha,0,0.14
YBR142W,alpha,0,0.23
YBR143C,alpha,0,0.07
YBR144C,alpha,0,0.32
YBR145W,alpha,0,-0.12
YBR146W,alpha,0,-0.15
YBR147W,alpha,0,0.06
YBR148W,alpha,0,0.08
YBR149W,alpha,0,0.16
YBR150C,alpha,0,-0.15
YBR151W,alpha,0,0.13
YBR152W,alpha,0,0.12
YBR153W,alpha,0,0.61
YBR154C,alpha,0,0.06
YBR155W,alpha,0,0.08
YBR156C,alpha,0,-0.63
YBR157C,alpha,0,0.37
YBR158W,alpha,0,1.71
YBR159W,alpha,0,-0.3
YBR160W,alpha,0,0.12
YBR161W,alpha,0,-0.46
YBR162C,alpha,0,0.36
YBR162W-A,alpha,0,-0.32
YBR163W,alpha,0,-0.13
YBR164C,alpha,0,-0.15
YBR165W,alpha,0,0.93
YBR166C,alpha,0,0.31
YBR167C,alpha,0,0.12
YBR168W,alpha,0,-0.22
YBR169C,alpha,0,0.09
YBR170C,alpha,0,-0.42
YBR171W,alpha,0,-0.01
YBR172C,alpha,0,0.14
YBR173C,alpha,0,-0.02
YBR174C,alpha,0,0.3
YBR175W,alpha,0,0.03
YBR176W,alpha,0,0.02
YBR177C,alpha,0,-0.06
YBR178W,alpha,0,0.17
YBR179C,alpha,0,0.13
YBR180W,alpha,0,0.12
YBR181C,alpha,0,0.17
YBR182C,alpha,0,0.67
YBR183W,alpha,0,1.11
YBR184W,alpha,0,-0.4
YBR185C,alpha,0,0
YBR186W,alpha,0,-0.17
YBR187W,alpha,0,-0.49
YBR188C,alpha,0,-0.22
YBR189W,alpha,0,0.03
YBR190W,alpha,0,0.15
YBR191W,alpha,0,-0.03
YBR192W,alpha,0,-0.11
YBR193C,alpha,0,0.02
YBR194W,alpha,0,0.89
YBR195C,alpha,0,-0.03
YBR196C,alpha,0,-0.04
YBR197C,alpha,0,-0.05
YBR198C,alpha,0,-0.24
YBR199W,alpha,0,-0.03
YBR200W,alpha,0,0.13
YBR201W,alpha,0,0.02
YBR202W,alpha,0,-0.59
YBR203W,alpha,0,0.26
YBR204C,alpha,0,0.04
YBR205W,alpha,0,-0.08
YBR206W,alpha,0,-0.21
YBR207W,alpha,0,-0.33
YBR208C,alpha,0,-0.16
YBR209W,alpha,0,-0.13
YBR210W,alpha,0,-0.03
YBR211C,alpha,0,-0.23
YBR212W,alpha,0,-0.1
YBR213W,alpha,0,-0.47
YBR214W,alpha,0,0.51
YBR215W,alpha,0,-0.18
YBR216C,alpha,0,-0.17
YBR217W,alpha,0,-0.2
YBR218C,alpha,0,-0.17
YBR219C,alpha,0,-0.17
YBR220C,alpha,0,0.05
YBR221C,alpha,0,-0.04
YBR222C,alpha,0,-0.46
YBR223C,alpha,0,0.84
YBR224W,alpha,0,0.77
YBR225W,alpha,0,0.81
YBR226C,alpha,0,0.38
YBR227C,alpha,0,0.08
YBR228W,alpha,0,-0.03
YBR229C,alpha,0,-0.13
YBR230C,alpha,0,-0.2
YBR231C,alpha,0,-0.42
YBR232C,alpha,0,0
YBR233W,alpha,0,-0.61
YBR234C,alpha,0,0.31
YBR235W,alpha,0,-0.16
YBR236C,alpha,0,0.18
YBR237W,alpha,0,-0.3
YBR238C,alpha,0,1.11
YBR239C,alpha,0,-0.18
YBR240C,alpha,0,0.33
YBR241C,alpha,0,0.07
YBR242W,alpha,0,-0.07
YBR243C,alpha,0,-0.92
YBR244W,alpha,0,-0.33
YBR245C,alpha,0,-0.29
YBR246W,alpha,0,0.18
YBR247C,alpha,0,0.13
YBR248C,alpha,0,-0.06
YBR249C,alpha,0,0.11
YBR250W,alpha,0,0.41
YBR251W,alpha,0,-0.11
YBR252W,alpha,0,-0.43
YBR253W,alpha,0,0.1
YBR254C,alpha,0,-0.16
YBR255W,alpha,0,-0.04
YBR256C,alpha,0,0.01
YBR257W,alpha,0,0.41
YBR258C,alpha,0,0.06
YBR259W,alpha,0,-0.25
YBR260C,alpha,0,-0.07
YBR261C,alpha,0,-0.08
YBR262C,alpha,0,0.26
YBR263W,alpha,0,-0.21
YBR264C,alpha,0,-0.02
YBR265W,alpha,0,-0.21
YBR266C,alpha,0,0.01
YBR267W,alpha,0,0.33
YBR268W,alpha,0,0.05
YBR269C,alpha,0,0.23
YBR270C,alpha,0,0.08
YBR271W,alpha,0,0.17
YBR272C,alpha,0,0.37
YBR273C,alpha,0,0.19
YBR274W,alpha,0,0.27
YBR275C,alpha,0,0.17
YBR276C,alpha,0,-0.1
YBR277C,alpha,0,0.04
YBR278W,alpha,0,0.04
YBR279W,alpha,0,-0.16
YBR280C,alpha,0,-0.14
YBR281C,alpha,0,-0.31
YBR282W,alpha,0,-0.33
YBR283C,alpha,0,-0.06
YBR284W,alpha,0,0
YBR285W,alpha,0,0.11
YBR286W,alpha,0,0.31
YBR287W,alpha,0,0.56
YBR288C,alpha,0,-0.09
YBR289W,alpha,0,-0.38
YBR290W,alpha,0,0.22
YBR291C,alpha,0,0.08
YBR292C,alpha,0,0.2
YBR293W,alpha,0,0.17
YBR294W,alpha,0,0.21
YBR295W,alpha,0,0.47
YBR296C,alpha,0,0.13
YBR297W,alpha,0,0.37
YBR298C,alpha,0,0.22
YBR299W,alpha,0,0.23
YBR300C,alpha,0,0.03
YBR301W,alpha,0,0.27
YBR302C,alpha,0,0.05
YCL001W,alpha,0,-0.25
YCL002C,alpha,0,0.05
YCL003W,alpha,0,-0.01
YCL004W,alpha,0,-0.05
YCL005W,alpha,0,0.23
YCL006C,alpha,0,-0.39
YCL007C,alpha,0,-0.27
YCL008C,alpha,0,-0.08
YCL009C,alpha,0,-0.19
YCL010C,alpha,0,-0.31
YCL011C,alpha,0,-0.27
YCL012W,alpha,0,-0.92
YCL013W,alpha,0,-0.69
YCL014W,alpha,0,-0.71
YCL016C,alpha,0,0.06
YCL017C,alpha,0,0.28
YCL018W,alpha,0,0.54
YCL019W,alpha,0,0.54
YCL020W,alpha,0,0.58
YCL021W,alpha,0,0.66
YCL022C,alpha,0,0.06
YCL023C,alpha,0,-0.08
YCL024W,alpha,0,-0.41
YCL025C,alpha,0,-0.29
YCL026C,alpha,0,-0.28
YCL027W,alpha,0,2.47
YCL028W,alpha,0,-0.89
YCL029C,alpha,0,0.01
YCL030C,alpha,0,-0.41
YCL031C,alpha,0,1.09
YCL032W,alpha,0,-0.05
YCL033C,alpha,0,0.07
YCL034W,alpha,0,-0.62
YCL035C,alpha,0,-0.08
YCL036W,alpha,0,-0.02
YCL037C,alpha,0,-0.11
YCL038C,alpha,0,0.13
YCL039W,alpha,0,0.29
YCL040W,alpha,0,-0.14
YCL041C,alpha,0,-0.03
YCL042W,alpha,0,-0.02
YCL043C,alpha,0,0.11
YCL044C,alpha,0,0.04
YCL045C,alpha,0,0.05
YCL046W,alpha,0,-0.01
YCL047C,alpha,0,0.07
YCL048W,alpha,0,0.05
YCL049C,alpha,0,0.27
YCL050C,alpha,0,-0.14
YCL051W,alpha,0,-0.13
YCL052C,alpha,0,-0.09
YCL053C,alpha,0,-0.05
YCL054W,alpha,0,-0.1
YCL055W,alpha,0,2.95
YCL056C,alpha,0,-0.07
YCL057W,alpha,0,-0.24
YCL058C,alpha,0,-0.2
YCL059C,alpha,0,-0.04
YCL060C,alpha,0,-0.97
YCL061C,alpha,0,-0.69
YCL062W,alpha,0,-0.94
YCL063W,alpha,0,-0.75
YCL064C,alpha,0,-0.58
YCL065W,alpha,0,0.05
YCL066W,alpha,0,0.06
YCL067C,alpha,0,0.34
YCL068C,alpha,0,0.16
YCL069W,alpha,0,0.08
YCL074W,alpha,0,2.42
YCL075W,alpha,0,1.29
YCL076W,alpha,0,1.94
YCLX01W,alpha,0,-0.22
YCLX02C,alpha,0,-0.2
YCLX03C,alpha,0,-0.29
YCLX04W,alpha,0,-0.1
YCLX05C,alpha,0,-0.48
YCLX06C,alpha,0,-0.68
YCLX07W,alpha,0,2.23
YCLX08C,alpha,0,-0.43
YCLX09W,alpha,0,-0.7
YCLX10C,alpha,0,0.25
YCLX11W,alpha,0,-0.24
YCLX12W,alpha,0,0.06
YCR001W,alpha,0,0.17
YCR002C,alpha,0,0.01
YCR003W,alpha,0,0.05
YCR004C,alpha,0,-0.09
YCR005C,alpha,0,-0.1
YCR006C,alpha,0,0.27
YCR007C,alpha,0,0.5
YCR008W,alpha,0,0.09
YCR009C,alpha,0,1.53
YCR010C,alpha,0,0.44
YCR011C,alpha,0,-0.41
YCR012W,alpha,0,0.46
YCR013C,alpha,0,-0.11
YCR014C,alpha,0,-0.2
YCR015C,alpha,0,NA
YCR016W,alpha,0,0.06
YCR017C,alpha,0,0.02
YCR018C,alpha,0,-0.06
YCR019W,alpha,0,-0.05
YCR020C,alpha,0,-0.32
YCR020C-A,alpha,0,-0.34
YCR021C,alpha,0,0.01
YCR022C,alpha,0,-0.33
YCR023C,alpha,0,-0.29
YCR024C,alpha,0,0.15
YCR024C-A,alpha,0,-0.26
YCR025C,alpha,0,0.02
YCR026C,alpha,0,-0.04
YCR027C,alpha,0,0.34
YCR028C,alpha,0,-0.1
YCR029C,alpha,0,-0.02
YCR029C-A,alpha,0,-0.04
YCR030C,alpha,0,-0.06
YCR031C,alpha,0,0.11
YCR032W,alpha,0,0.55
YCR033W,alpha,0,-0.31
YCR034W,alpha,0,-0.65
YCR035C,alpha,0,0.31
YCR036W,alpha,0,0.19
YCR037C,alpha,0,-0.31
YCR038C,alpha,0,-0.21
YCR039C,alpha,0,0.2
YCR040W,alpha,0,-0.2
YCR041W,alpha,0,-0.02
YCR042C,alpha,0,-0.12
YCR043C,alpha,0,-0.09
YCR044C,alpha,0,-0.03
YCR045C,alpha,0,-0.37
YCR046C,alpha,0,0
YCR047C,alpha,0,0.09
YCR048W,alpha,0,-0.34
YCR049C,alpha,0,-0.16
YCR050C,alpha,0,-0.12
YCR051W,alpha,0,0.15
YCR052W,alpha,0,0
YCR053W,alpha,0,0.24
YCR054C,alpha,0,0.25
YCR055C,alpha,0,0.34
YCR056W,alpha,0,0.23
YCR057C,alpha,0,0.36
YCR058C,alpha,0,0.02
YCR059C,alpha,0,0.08
YCR060W,alpha,0,-0.17
YCR061W,alpha,0,0.04
YCR062W,alpha,0,-0.14
YCR063W,alpha,0,-0.06
YCR064C,alpha,0,-0.34
YCR065W,alpha,0,-1.18
YCR066W,alpha,0,0
YCR067C,alpha,0,-0.13
YCR068W,alpha,0,-0.43
YCR069W,alpha,0,-0.01
YCR070W,alpha,0,0.09
YCR071C,alpha,0,0.13
YCR072C,alpha,0,0.4
YCR073C,alpha,0,0.32
YCR074C,alpha,0,0.02
YCR075C,alpha,0,-0.35
YCR076C,alpha,0,-0.09
YCR077C,alpha,0,0.11
YCR079W,alpha,0,0.03
YCR080W,alpha,0,0.15
YCR081W,alpha,0,0.06
YCR082W,alpha,0,0.19
YCR083W,alpha,0,-0.08
YCR084C,alpha,0,-0.63
YCR085W,alpha,0,-0.11
YCR086W,alpha,0,-0.2
YCR087W,alpha,0,0.01
YCR088W,alpha,0,-0.09
YCR089W,alpha,0,1.79
YCR090C,alpha,0,-0.16
YCR091W,alpha,0,-0.27
YCR092C,alpha,0,-0.08
YCR093W,alpha,0,-0.26
YCR094W,alpha,0,-0.21
YCR095C,alpha,0,0.25
YCR096C,alpha,0,0.22
YCR097WA,alpha,0,0.3
YCR097WB,alpha,0,0.45
YCR098C,alpha,0,0.15
YCR099C,alpha,0,0.35
YCR100C,alpha,0,0.43
YCR101C,alpha,0,0.31
YCR102C,alpha,0,0.25
YCR103C,alpha,0,0.46
YCR104W,alpha,0,0.2
YCR105W,alpha,0,0.25
YCR106W,alpha,0,-0.14
YCR107W,alpha,0,-0.08
YCRX01W,alpha,0,-0.85
YCRX02C,alpha,0,-0.21
YCRX03C,alpha,0,-0.25
YCRX04W,alpha,0,-0.09
YCRX05W,alpha,0,-0.35
YCRX06W,alpha,0,-0.15
YCRX07W,alpha,0,-0.55
YCRX08W,alpha,0,-0.34
YCRX09C,alpha,0,-0.15
YCRX10W,alpha,0,-0.21
YCRX11W,alpha,0,0.08
YCRX12W,alpha,0,0.42
YCRX13W,alpha,0,0
YCRX14W,alpha,0,0.1
YCRX15W,alpha,0,0.17
YCRX16C,alpha,0,0.31
YCRX17W,alpha,0,0.01
YCRX18C,alpha,0,4.76
YCRX19W,alpha,0,-0.02
YCRX20C,alpha,0,-0.14
YCRX21C,alpha,0,0.19
YDL001W,alpha,0,0.13
YDL002C,alpha,0,-0.14
YDL003W,alpha,0,-1.22
YDL004W,alpha,0,-0.36
YDL005C,alpha,0,-0.18
YDL006W,alpha,0,-0.3
YDL007W,alpha,0,-0.15
YDL008W,alpha,0,-0.24
YDL009C,alpha,0,-0.46
YDL010W,alpha,0,-0.58
YDL011C,alpha,0,-0.47
YDL012C,alpha,0,-0.28
YDL013W,alpha,0,-0.53
YDL014W,alpha,0,0.24
YDL015C,alpha,0,0.14
YDL016C,alpha,0,0.13
YDL017W,alpha,0,0.28
YDL018C,alpha,0,-0.24
YDL019C,alpha,0,-0.27
YDL020C,alpha,0,-0.12
YDL021W,alpha,0,0.12
YDL022W,alpha,0,1.05
YDL023C,alpha,0,0.98
YDL024C,alpha,0,0.02
YDL025C,alpha,0,-0.36
YDL026W,alpha,0,-0.03
YDL027C,alpha,0,0.26
YDL028C,alpha,0,-0.68
YDL029W,alpha,0,-0.03
YDL030W,alpha,0,-0.5
YDL031W,alpha,0,-0.13
YDL032W,alpha,0,-0.41
YDL033C,alpha,0,0.11
YDL034W,alpha,0,-0.33
YDL035C,alpha,0,-0.39
YDL036C,alpha,0,0.06
YDL037C,alpha,0,2.38
YDL038C,alpha,0,2.46
YDL039C,alpha,0,1.81
YDL040C,alpha,0,0.16
YDL041W,alpha,0,0.19
YDL042C,alpha,0,0.39
YDL043C,alpha,0,0.04
YDL044C,alpha,0,0.14
YDL045C,alpha,0,-0.04
YDL045W-A,alpha,0,NA
YDL046W,alpha,0,-0.23
YDL047W,alpha,0,0.33
YDL048C,alpha,0,1.19
YDL049C,alpha,0,-0.16
YDL050C,alpha,0,-0.23
YDL051W,alpha,0,-0.05
YDL052C,alpha,0,-0.5
YDL053C,alpha,0,-0.2
YDL054C,alpha,0,-0.45
YDL055C,alpha,0,-0.73
YDL056W,alpha,0,-0.39
YDL057W,alpha,0,-0.13
YDL058W,alpha,0,0.04
YDL059C,alpha,0,0.01
YDL060W,alpha,0,0.02
YDL061C,alpha,0,-0.2
YDL062W,alpha,0,0.38
YDL063C,alpha,0,0.51
YDL064W,alpha,0,-0.07
YDL065C,alpha,0,0.03
YDL066W,alpha,0,-0.14
YDL067C,alpha,0,0.18
YDL068W,alpha,0,-0.2
YDL069C,alpha,0,0.07
YDL070W,alpha,0,-0.32
YDL071C,alpha,0,0.03
YDL072C,alpha,0,0.44
YDL073W,alpha,0,0.19
YDL074C,alpha,0,-0.36
YDL075W,alpha,0,-0.1
YDL076C,alpha,0,-0.36
YDL077C,alpha,0,-0.18
YDL078C,alpha,0,-0.17
YDL079C,alpha,0,-0.01
YDL080C,alpha,0,-0.15
YDL081C,alpha,0,-0.08
YDL082W,alpha,0,-0.28
YDL083C,alpha,0,1.38
YDL084W,alpha,0,-0.42
YDL085W,alpha,0,-0.31
YDL086W,alpha,0,0.31
YDL087C,alpha,0,-0.02
YDL088C,alpha,0,0.12
YDL089W,alpha,0,0.17
YDL090C,alpha,0,0.06
YDL091C,alpha,0,-0.1
YDL092W,alpha,0,0.13
YDL093W,alpha,0,-0.33
YDL094C,alpha,0,-0.21
