Year,Date,Site,Plot,SpecCode,LeafNumber,Area,Perimeter,Length,Width,FreshMass,DryMass,SLA,LDMC
2011,7/27/11,1,4,PERPAL,3,27.151,,,,0.600,0.281,96.624,0.468
2011,7/27/11,1,4,PERPAL,4,38.935,,,,0.900,0.433,89.920,0.481
2011,7/27/11,1,4,PERPAL,5,38.400,,,,0.830,0.398,96.482,0.480
2011,7/27/11,3,1,CLEALN,1,20.832,,,,0.300,0.107,194.689,0.357
2011,7/27/11,3,1,CLEALN,2,8.958,,,,0.100,0.044,203.589,0.440
2011,7/27/11,3,1,CLEALN,3,12.774,,,,0.160,0.070,182.481,0.438
2011,7/27/11,3,1,CLEALN,4,9.795,,,,0.150,0.056,174.913,0.373
2011,7/27/11,3,1,CLEALN,5,10.115,,,,0.120,0.043,235.235,0.358
2011,7/27/11,3,1,DIOVIR,1,43.450,,,,0.900,0.330,131.667,0.367
2011,7/27/11,3,1,DIOVIR,2,35.464,,,,0.570,0.201,176.436,0.353
2011,7/27/11,3,1,DIOVIR,3,27.012,,,,0.470,0.171,157.965,0.364
2011,7/27/11,3,1,DIOVIR,4,21.550,,,,0.360,0.134,160.821,0.372
2011,7/27/11,3,1,DIOVIR,5,16.562,,,,0.290,0.106,156.244,0.366
2011,7/27/11,3,1,QUELAE,1,105.697,,,,2.210,1.084,97.506,0.490
2011,7/27/11,3,1,QUELAE,2,101.479,,,,2.170,1.050,96.647,0.484
2011,7/27/11,3,1,QUELAE,3,75.029,,,,1.570,0.780,96.191,0.497
2011,7/27/11,3,1,QUELAE,4,77.322,,,,1.440,0.705,109.676,0.490
2011,7/27/11,3,1,QUELAE,5,106.261,,,,2.130,1.038,102.371,0.487
2011,7/27/11,3,1,QUEMARG,1,32.320,,,,0.630,0.305,105.969,0.484
2011,7/27/11,3,1,QUEMARG,2,27.471,,,,0.490,0.235,116.896,0.480
2011,7/27/11,3,1,QUEMARG,3,15.855,,,,0.260,0.132,120.114,0.508
2011,7/27/11,3,1,QUEMARG,4,36.697,,,,0.690,0.336,109.217,0.487
2011,7/27/11,3,1,QUEMARG,5,23.507,,,,0.420,0.212,110.882,0.505
2011,7/27/11,3,1,QUEMARI,1,46.047,,,,0.820,0.388,118.678,0.473
2011,7/27/11,3,1,QUEMARI,2,52.126,,,,0.830,0.393,132.637,0.473
2011,7/27/11,3,1,QUEMARI,3,32.192,,,,0.610,0.291,110.626,0.477
2011,7/27/11,3,1,QUEMARI,4,57.428,,,,1.380,0.654,87.810,0.474
2011,7/27/11,3,1,QUEMARI,5,104.291,,,,2.130,0.974,107.075,0.457
2011,7/27/11,3,2,ARISTR,1,1.168,,,,0.100,0.052,22.452,0.520
2011,7/27/11,3,2,ARISTR,2,3.352,,,,0.120,0.065,51.569,0.542
2011,7/27/11,3,2,ARISTR,3,3.886,,,,0.180,0.099,39.247,0.550
2011,7/27/11,3,2,ARISTR,4,3.440,,,,0.150,0.081,42.473,0.540
2011,7/27/11,3,2,ARISTR,5,2.594,,,,0.100,0.061,42.523,0.610
2011,7/27/11,3,2,CLEALN,1,11.584,,,,0.200,0.082,141.271,0.410
2011,7/27/11,3,2,CLEALN,2,11.131,,,,0.190,0.071,156.770,0.374
2011,7/27/11,3,2,CLEALN,3,13.214,,,,0.240,0.091,145.209,0.379
2011,7/27/11,3,2,CLEALN,4,9.285,,,,0.150,0.062,149.763,0.413
2011,7/27/11,3,2,CLEALN,5,14.034,,,,0.210,0.076,184.654,0.362
2011,7/27/11,3,2,DIOVIR,1,27.301,,,,0.480,0.200,136.503,0.417
2011,7/27/11,3,2,DIOVIR,2,22.353,,,,0.430,0.167,133.851,0.388
2011,7/27/11,3,2,DIOVIR,3,24.371,,,,0.470,0.195,124.981,0.415
2011,7/27/11,3,2,DIOVIR,4,25.689,,,,0.430,0.165,155.692,0.384
2011,7/27/11,3,2,DIOVIR,5,16.997,,,,0.370,0.149,114.074,0.403
2011,7/27/11,3,2,QUEMARI,1,149.699,,,,3.110,1.617,92.578,0.520
2011,7/27/11,3,2,QUEMARI,2,194.413,,,,4.670,2.368,82.100,0.507
2011,7/27/11,3,2,QUEMARI,3,43.484,,,,0.930,0.472,92.126,0.508
2011,7/27/11,3,2,QUEMARI,4,176.170,,,,3.270,1.628,108.213,0.498
2011,7/27/11,3,2,QUEMARI,5,74.165,,,,1.490,0.792,93.643,0.532
2011,7/27/11,3,2,TOXPUB,1,31.338,,,,0.390,0.215,145.759,0.551
2011,7/27/11,3,2,TOXPUB,2,25.075,,,,0.250,0.145,172.929,0.580
2011,7/27/11,3,2,TOXPUB,3,16.814,,,,0.160,0.092,182.762,0.575
2011,7/27/11,3,2,TOXPUB,4,15.481,,,,0.180,0.095,162.956,0.528
2011,7/27/11,3,2,TOXPUB,5,17.369,,,,0.210,0.094,184.774,0.448
2011,7/27/11,3,3,CLEALN,1,9.918,,,,0.130,0.050,198.362,0.385
2011,7/27/11,3,3,CLEALN,2,12.326,,,,0.180,0.072,171.189,0.400
2011,7/27/11,3,3,CLEALN,3,5.058,,,,0.070,0.027,187.348,0.386
2011,7/27/11,3,3,CLEALN,4,13.324,,,,0.260,0.095,140.247,0.365
2011,7/27/11,3,3,CLEALN,5,15.849,,,,0.250,0.094,168.611,0.376
2011,7/27/11,3,3,GAYDUM,1,2.452,,,,0.040,0.020,122.595,0.500
2011,7/27/11,3,3,GAYDUM,2,2.561,,,,0.040,0.016,160.031,0.400
2011,7/27/11,3,3,GAYDUM,3,2.004,,,,0.040,0.018,111.322,0.450
2011,7/27/11,3,3,GAYDUM,4,2.459,,,,0.050,0.019,129.405,0.380
2011,7/27/11,3,3,GAYDUM,5,2.205,,,,0.050,0.020,110.255,0.400
2011,7/27/11,3,3,GAYFRO,1,8.563,,,,0.140,0.062,138.118,0.443
2011,7/27/11,3,3,GAYFRO,2,6.856,,,,0.110,0.049,139.914,0.445
2011,7/27/11,3,3,GAYFRO,3,10.355,,,,0.150,0.073,141.849,0.487
2011,7/27/11,3,3,GAYFRO,4,6.118,,,,0.080,0.038,161.008,0.475
2011,7/27/11,3,3,GAYFRO,5,5.841,,,,0.080,0.039,149.769,0.488
2011,7/27/11,3,3,ILEGLA,1,5.875,,,,0.190,0.079,74.367,0.416
2011,7/27/11,3,3,ILEGLA,2,5.277,,,,0.160,0.070,75.380,0.438
2011,7/27/11,3,3,ILEGLA,3,4.191,,,,0.120,0.050,83.818,0.417
2011,7/27/11,3,3,ILEGLA,4,4.708,,,,0.140,0.062,75.937,0.443
2011,7/27/11,3,3,ILEGLA,5,6.144,,,,0.210,0.090,68.268,0.429
2011,7/27/11,3,3,LYOMAR,1,34.960,,,,0.720,0.307,113.877,0.426
2011,7/27/11,3,3,LYOMAR,2,28.450,,,,0.630,0.293,97.100,0.465
2011,7/27/11,3,3,LYOMAR,3,15.467,,,,0.340,0.157,98.518,0.462
2011,7/27/11,3,3,LYOMAR,4,36.355,,,,0.720,0.332,109.504,0.461
2011,7/27/11,3,3,LYOMAR,5,11.974,,,,0.210,0.104,115.137,0.495
2011,7/27/11,3,3,MAGVIR,1,37.143,,,,0.660,0.243,152.850,0.368
2011,7/27/11,3,3,MAGVIR,2,29.608,,,,0.620,0.238,124.403,0.384
2011,7/27/11,3,3,MAGVIR,3,43.611,,,,0.880,0.336,129.795,0.382
2011,7/27/11,3,3,MAGVIR,4,46.278,,,,0.770,0.296,156.344,0.384
2011,7/27/11,3,4,CLEALN,1,18.662,,,,0.160,0.058,321.750,0.363
2011,7/27/11,3,4,CLEALN,2,11.010,,,,0.120,0.036,305.833,0.300
2011,7/27/11,3,4,CLEALN,3,11.992,,,,0.130,0.039,307.485,0.300
2011,7/27/11,3,4,CLEALN,4,12.689,,,,0.120,0.040,317.225,0.333
2011,7/27/11,3,4,CLEALN,5,13.256,,,,0.210,0.079,167.797,0.376
2011,7/27/11,3,4,ILEGLA,1,3.015,,,,0.080,0.038,79.337,0.475
2011,7/27/11,3,4,ILEGLA,2,5.204,,,,0.150,0.068,76.528,0.453
2011,7/27/11,3,4,ILEGLA,3,5.575,,,,0.150,0.067,83.206,0.447
2011,7/27/11,3,4,ILEGLA,4,4.243,,,,0.140,0.055,77.149,0.393
2011,7/27/11,3,4,ILEGLA,5,8.010,,,,0.260,0.108,74.168,0.415
2011,7/27/11,3,4,LYOLUC,1,21.895,,,,0.540,0.253,86.540,0.469
2011,7/27/11,3,4,LYOLUC,2,16.263,,,,0.350,0.166,97.969,0.474
2011,7/27/11,3,4,LYOLUC,3,14.267,,,,0.330,0.156,91.458,0.473
2011,7/27/11,3,4,LYOLUC,4,12.634,,,,0.340,0.167,75.653,0.491
2011,7/27/11,3,4,LYOLUC,5,15.651,,,,0.330,0.142,110.216,0.430
2011,7/27/11,3,4,PERPAL,1,21.129,,,,0.410,0.216,97.821,0.527
2011,7/27/11,3,4,PERPAL,2,25.188,,,,0.520,0.279,90.278,0.537
2011,7/27/11,3,4,PERPAL,3,13.590,,,,0.240,0.119,114.202,0.496
2011,7/27/11,3,4,PERPAL,4,23.922,,,,0.450,0.236,101.365,0.524
2011,7/27/11,3,4,PERPAL,5,33.657,,,,0.660,0.318,105.839,0.482
2011,7/27/11,3,4,PTEAQU,1,16.663,,,,0.240,0.098,170.027,0.408
2011,7/27/11,3,4,PTEAQU,2,20.862,,,,0.260,0.096,217.316,0.369
2011,7/27/11,3,4,PTEAQU,3,14.218,,,,0.190,0.069,206.061,0.363
2011,7/27/11,3,4,PTEAQU,4,25.102,,,,0.350,0.119,210.942,0.340
2011,7/27/11,3,5,ILEGLA,1,4.094,,,,0.100,0.036,113.714,0.360
2011,7/27/11,3,5,ILEGLA,2,6.016,,,,0.160,0.061,98.628,0.381
2011,7/27/11,3,5,ILEGLA,3,4.155,,,,0.110,0.041,101.351,0.373
2011,7/27/11,3,5,ILEGLA,4,3.888,,,,0.080,0.036,108.003,0.450
2011,7/27/11,3,5,ILEGLA,5,6.053,,,,0.160,0.075,80.712,0.469
2011,7/27/11,3,5,LYOLUC,1,10.752,,,,0.200,0.072,149.331,0.360
2011,7/27/11,3,5,LYOLUC,2,10.503,,,,0.200,0.073,143.874,0.365
2011,7/27/11,3,5,LYOLUC,3,10.509,,,,0.250,0.116,90.591,0.464
2011,7/27/11,3,5,LYOLUC,4,11.204,,,,0.220,0.082,136.629,0.373
2011,7/27/11,3,5,MAGVIR,1,26.590,,,,0.400,0.144,184.649,0.360
2011,7/27/11,3,5,MAGVIR,2,36.554,,,,0.580,0.199,183.689,0.343
2011,7/27/11,3,5,MAGVIR,3,26.997,,,,0.380,0.137,197.056,0.361
2011,7/27/11,3,5,MAGVIR,4,22.555,,,,0.330,0.124,181.894,0.376
2011,7/27/11,3,5,MAGVIR,5,46.568,,,,0.730,0.257,181.200,0.352
2011,7/27/11,3,5,PERPAL,1,27.131,,,,0.420,0.166,163.442,0.395
2011,7/27/11,3,5,PERPAL,2,41.917,,,,0.630,0.288,145.545,0.457
2011,7/27/11,3,5,PERPAL,3,40.667,,,,0.650,0.293,138.796,0.451
2011,7/27/11,3,5,PERPAL,4,53.424,,,,0.950,0.393,135.940,0.414
2011,7/27/11,3,5,PERPAL,5,55.634,,,,0.990,0.407,136.692,0.411
2011,7/27/11,3,5,PERPAL,6,46.487,,,,0.860,0.366,127.013,0.426
2011,7/27/11,3,5,PERPAL,7,46.420,,,,0.800,0.320,145.062,0.400
2011,7/27/11,3,5,PERPAL,8,34.166,,,,0.640,0.264,129.417,0.413
2011,7/27/11,4,1,ARISTR,1,2.269,,,,0.090,0.048,47.273,0.533
2011,7/27/11,4,1,ARISTR,2,2.771,,,,0.120,0.064,43.297,0.533
2011,7/27/11,4,1,ARISTR,3,2.349,,,,0.100,0.050,46.984,0.500
2011,7/27/11,4,1,ARISTR,4,2.027,,,,0.070,0.042,48.260,0.600
2011,7/27/11,4,1,ARISTR,5,1.063,,,,0.040,0.019,55.968,0.475
2011,7/27/11,4,1,DIOVIR,1,22.848,,,,0.350,0.121,188.825,0.346
2011,7/27/11,4,1,DIOVIR,2,31.914,,,,0.540,0.213,149.829,0.394
2011,7/27/11,4,1,DIOVIR,3,17.953,,,,0.300,0.116,154.770,0.387
2011,7/27/11,4,1,DIOVIR,4,42.000,,,,0.750,0.291,144.329,0.388
2011,7/27/11,4,1,DIOVIR,5,12.245,,,,0.180,0.064,191.328,0.356
2011,7/27/11,4,1,LYOMAR,1,14.561,,,,0.310,0.139,104.755,0.448
2011,7/27/11,4,1,LYOMAR,2,12.852,,,,0.280,0.122,105.342,0.436
2011,7/27/11,4,1,LYOMAR,3,16.320,,,,0.380,0.178,91.683,0.468
2011,7/27/11,4,1,LYOMAR,4,15.576,,,,0.350,0.159,97.963,0.454
2011,7/27/11,4,1,LYOMAR,5,14.638,,,,0.330,0.149,98.239,0.452
2011,7/27/11,4,1,VACTEN,1,1.368,,,,0.030,0.011,124.327,0.367
2011,7/27/11,4,1,VACTEN,2,1.602,,,,0.040,0.015,106.827,0.375
2011,7/27/11,4,1,VACTEN,3,1.322,,,,0.030,0.012,110.200,0.400
2011,7/27/11,4,1,VACTEN,4,1.695,,,,0.030,0.012,141.250,0.400
2011,7/27/11,4,1,VACTEN,5,2.341,,,,0.050,0.020,117.045,0.400
2011,7/27/11,4,2,CLEALN,1,11.102,,,,0.160,0.061,181.997,0.381
2011,7/27/11,4,2,CLEALN,2,15.395,,,,0.220,0.076,202.559,0.345
2011,7/27/11,4,2,CLEALN,3,14.398,,,,0.180,0.058,248.236,0.322
2011,7/27/11,4,2,CLEALN,4,22.463,,,,0.290,0.100,224.627,0.345
2011,7/27/11,4,2,CLEALN,5,8.274,,,,0.130,0.049,168.863,0.377
2011,7/27/11,4,2,GAYFRO,1,9.237,,,,0.140,0.066,139.955,0.471
2011,7/27/11,4,2,GAYFRO,2,4.851,,,,0.080,0.038,127.653,0.475
2011,7/27/11,4,2,GAYFRO,3,8.096,,,,0.090,0.044,183.995,0.489
2011,7/27/11,4,2,GAYFRO,4,6.599,,,,0.100,0.052,126.910,0.520
2011,7/27/11,4,2,GAYFRO,5,4.799,,,,0.070,0.033,145.409,0.471
2011,7/27/11,4,2,ILEGLA,1,6.717,,,,0.230,0.104,64.585,0.452
2011,7/27/11,4,2,ILEGLA,2,6.782,,,,0.220,0.098,69.207,0.445
2011,7/27/11,4,2,ILEGLA,3,3.318,,,,0.100,0.042,78.990,0.420
2011,7/27/11,4,2,ILEGLA,4,2.740,,,,0.070,0.030,91.347,0.429
2011,7/27/11,4,2,ILEGLA,5,5.396,,,,0.180,0.080,67.455,0.444
2011,7/27/11,4,2,LYOLUC,1,7.337,,,,0.190,0.083,88.401,0.437
2011,7/27/11,4,2,LYOLUC,2,11.394,,,,0.270,0.121,94.165,0.448
2011,7/27/11,4,2,LYOLUC,3,7.559,,,,0.210,0.095,79.564,0.452
2011,7/27/11,4,2,LYOLUC,4,14.377,,,,0.350,0.156,92.163,0.446
2011,7/27/11,4,2,LYOLUC,5,17.002,,,,0.460,0.216,78.713,0.470
2011,7/27/11,4,2,OSMCIN,1,63.564,,,,1.460,0.446,142.519,0.305
2011,7/27/11,4,2,OSMCIN,2,35.296,,,,0.620,0.156,226.258,0.252
2011,7/27/11,4,2,OSMCIN,3,73.701,,,,1.780,0.534,138.017,0.300
2011,7/27/11,4,2,OSMCIN,4,33.178,,,,0.660,0.194,171.022,0.294
2011,7/27/11,4,2,OSMCIN,5,53.729,,,,1.230,0.359,149.662,0.292
2011,7/27/11,4,3,CLEALN,1,8.150,,,,0.120,0.043,189.526,0.358
2011,7/27/11,4,3,CLEALN,2,12.304,,,,0.190,0.074,166.273,0.389
2011,7/27/11,4,3,CLEALN,3,21.884,,,,0.330,0.135,162.101,0.409
2011,7/27/11,4,3,CLEALN,4,11.833,,,,0.170,0.063,187.829,0.371
2011,7/27/11,4,3,CLEALN,5,14.190,,,,0.190,0.070,202.713,0.368
2011,7/27/11,4,3,GAYFRO,1,12.296,,,,0.170,0.073,168.444,0.429
2011,7/27/11,4,3,GAYFRO,2,10.905,,,,0.180,0.058,188.014,0.322
2011,7/27/11,4,3,GAYFRO,3,8.531,,,,0.100,0.041,208.066,0.410
2011,7/27/11,4,3,GAYFRO,4,8.207,,,,0.080,0.032,256.463,0.400
2011,7/27/11,4,3,GAYFRO,5,9.491,,,,0.130,0.058,163.631,0.446
2011,7/27/11,4,3,LYOLUC,1,10.501,,,,0.310,0.146,71.923,0.471
2011,7/27/11,4,3,LYOLUC,2,13.476,,,,0.390,0.192,70.187,0.492
2011,7/27/11,4,3,LYOLUC,3,8.630,,,,0.260,0.128,67.421,0.492
2011,7/27/11,4,3,LYOLUC,4,9.785,,,,0.330,0.162,60.404,0.491
2011,7/27/11,4,3,LYOLUC,5,12.552,,,,0.345,0.166,75.611,0.481
2011,7/27/11,4,3,PERPAL,1,13.687,,,,0.320,0.146,93.744,0.456
2011,7/27/11,4,3,PERPAL,2,26.552,,,,0.730,0.302,87.919,0.414
2011,7/27/11,4,3,PERPAL,3,19.159,,,,0.470,0.223,85.914,0.474
2011,7/27/11,4,3,PERPAL,4,59.782,,,,1.090,0.396,150.965,0.363
2011,7/27/11,4,3,PERPAL,5,66.051,,,,1.490,0.548,120.532,0.368
2011,7/27/11,5,1,ARISTR,1,1.430,,,,0.040,0.017,84.100,0.425
2011,7/27/11,5,1,ARISTR,2,1.438,,,,0.050,0.022,65.364,0.440
2011,7/27/11,5,1,ARISTR,3,1.862,,,,0.060,0.022,84.636,0.367
2011,7/27/11,5,1,ARISTR,4,2.438,,,,0.080,0.027,90.278,0.338
2011,7/27/11,5,1,ARISTR,5,2.173,,,,0.060,0.025,86.936,0.417
2011,7/27/11,5,1,PTEAQU,1,32.562,,,,0.570,0.129,252.415,0.226
2011,7/27/11,5,1,PTEAQU,2,37.153,,,,0.640,0.167,222.474,0.261
2011,7/27/11,5,1,PTEAQU,3,39.597,,,,0.730,0.217,182.476,0.297
2011,7/27/11,5,1,PTEAQU,4,23.990,,,,0.450,0.118,203.306,0.262
2011,7/27/11,5,1,PTEAQU,5,52.602,,,,0.970,0.265,198.497,0.273
2011,7/27/11,5,1,RHUCOP,1,9.063,,,,0.130,0.037,244.949,0.285
2011,7/27/11,5,1,RHUCOP,2,19.064,,,,0.320,0.092,207.215,0.288
2011,7/27/11,5,1,RHUCOP,3,9.164,,,,0.140,0.045,203.640,0.321
2011,7/27/11,5,1,RHUCOP,4,8.546,,,,0.120,0.033,258.976,0.275
2011,7/27/11,5,1,RHUCOP,5,16.213,,,,0.260,0.075,216.175,0.288
2011,7/27/11,5,1,TOXPUB,1,7.400,,,,0.100,0.026,284.631,0.260
2011,7/27/11,5,1,TOXPUB,2,5.596,,,,0.070,0.017,329.171,0.243
2011,7/27/11,5,1,TOXPUB,3,9.624,,,,0.130,0.034,283.071,0.262
2011,7/27/11,5,1,TOXPUB,4,7.406,,,,0.100,0.029,255.376,0.290
2011,7/27/11,5,1,TOXPUB,5,6.698,,,,0.090,0.026,257.612,0.289
2011,7/27/11,5,2,ARISTR,1,2.469,,,,0.080,0.035,70.537,0.438
2011,7/27/11,5,2,ARISTR,2,2.689,,,,0.100,0.037,72.681,0.370
2011,7/27/11,5,2,ARISTR,3,1.974,,,,0.060,0.028,70.514,0.467
2011,7/27/11,5,2,ARISTR,4,1.041,,,,0.030,0.012,86.733,0.400
2011,7/27/11,5,2,ARISTR,5,1.452,,,,0.050,0.019,76.400,0.380
2011,7/27/11,5,2,PTEAQU,1,14.606,,,,0.260,0.054,270.474,0.208
2011,7/27/11,5,2,PTEAQU,2,10.730,,,,0.190,0.036,298.058,0.189
2011,7/27/11,5,2,PTEAQU,3,5.270,,,,0.100,0.017,310.018,0.170
2011,7/27/11,5,2,PTEAQU,4,11.742,,,,0.230,0.042,279.571,0.183
2011,7/27/11,5,2,PTEAQU,5,7.783,,,,0.180,0.028,277.954,0.156
2011,7/27/11,5,2,TEPVIR,1,1.166,,,,,,,
2011,7/27/11,5,2,TEPVIR,2,1.825,,,,,,,
2011,7/27/11,5,2,TEPVIR,3,2.075,,,,,,,
2011,7/27/11,5,2,TEPVIR,4,0.951,,,,,,,
2011,7/27/11,5,2,TEPVIR,5,2.158,,,,,,,
2011,7/27/11,5,3,CLEALN,1,3.565,,,,0.040,0.010,356.470,0.250
2011,7/27/11,5,3,CLEALN,2,2.228,,,,0.030,0.008,278.500,0.267
2011,7/27/11,5,3,CLEALN,3,7.459,,,,0.080,0.019,392.568,0.238
2011,7/27/11,5,3,CLEALN,4,5.875,,,,0.080,0.018,326.389,0.225
2011,7/27/11,5,3,CLEALN,5,6.862,,,,0.090,0.025,274.472,0.278
2011,7/27/11,5,3,PTEAQU,1,26.397,,,,0.480,0.102,258.789,0.213
2011,7/27/11,5,3,PTEAQU,2,7.997,,,,0.130,0.026,307.562,0.200
2011,7/27/11,5,3,PTEAQU,3,17.882,,,,0.340,0.072,248.367,0.212
2011,7/27/11,5,3,PTEAQU,4,8.500,,,,0.150,0.037,229.719,0.247
2011,7/27/11,5,4,CLEALN,1,3.512,,,,0.040,0.009,390.233,0.225
2011,7/27/11,5,4,CLEALN,2,5.189,,,,0.050,0.012,432.442,0.240
2011,7/27/11,5,4,CLEALN,3,6.352,,,,0.070,0.018,352.883,0.257
2011,7/27/11,5,4,CLEALN,4,5.990,,,,0.070,0.015,399.333,0.214
2011,7/27/11,5,4,CLEALN,5,3.883,,,,0.040,0.011,352.964,0.275
2011,7/27/11,5,4,OSMCIN,1,35.571,,,,0.680,0.097,366.715,0.143
2011,7/27/11,5,4,OSMCIN,2,35.272,,,,0.670,0.100,352.721,0.149
2011,7/27/11,5,4,OSMCIN,3,36.406,,,,0.660,0.105,346.723,0.159
2011,7/27/11,5,4,OSMCIN,4,47.555,,,,0.830,0.132,360.267,0.159
2011,7/27/11,5,4,OSMCIN,5,51.232,,,,0.920,0.138,371.247,0.150
2011,7/27/11,5,5,ARUTEC,1,11.832,,,,0.140,0.052,227.546,0.371
2011,7/27/11,5,5,ARUTEC,2,17.045,,,,0.200,0.073,233.488,0.365
2011,7/27/11,5,5,ARUTEC,3,22.970,,,,0.270,0.102,225.198,0.378
2011,7/27/11,5,5,ARUTEC,4,11.784,,,,0.150,0.058,203.172,0.387
2011,7/27/11,5,5,ARUTEC,5,14.011,,,,0.160,0.061,229.682,0.381
2011,7/27/11,5,5,CLEALN,1,5.635,,,,0.080,0.017,331.476,0.213
2011,7/27/11,5,5,CLEALN,2,4.655,,,,0.060,0.013,358.092,0.217
2011,7/27/11,5,5,CLEALN,3,13.594,,,,0.170,0.042,323.667,0.247
2011,7/27/11,5,5,CLEALN,4,4.240,,,,0.050,0.011,385.464,0.220
2011,7/27/11,5,5,OSMCIN,1,21.456,,,,0.440,0.070,306.517,0.159
2011,7/27/11,5,5,OSMCIN,2,44.212,,,,0.800,0.128,345.406,0.160
2011,7/27/11,5,5,OSMCIN,3,44.307,,,,0.850,0.133,333.132,0.156
2011,7/27/11,5,5,OSMCIN,4,34.430,,,,0.610,0.098,351.323,0.161
2011,7/27/11,5,5,OSMCIN,5,45.263,,,,0.830,0.113,400.561,0.136
2011,7/27/11,5,6,CLEALN,1,12.364,,,,0.160,0.054,228.956,0.338
2011,7/27/11,5,6,CLEALN,2,7.027,,,,0.080,0.019,369.826,0.238
2011,7/27/11,5,6,CLEALN,3,4.412,,,,0.050,0.011,401.055,0.220
2011,7/27/11,5,6,CLEALN,4,7.222,,,,0.080,0.021,343.905,0.263
2011,7/27/11,5,6,CLEALN,5,20.626,,,,0.230,0.072,286.467,0.313
2011,7/27/11,5,6,ILEGLA,1,6.204,,,,0.180,0.078,79.544,0.433
2011,7/27/11,5,6,ILEGLA,2,5.331,,,,0.150,0.065,82.018,0.433
2011,7/27/11,5,6,ILEGLA,3,6.876,,,,0.190,0.078,88.158,0.411
2011,7/27/11,5,6,ILEGLA,4,6.792,,,,0.150,0.062,109.544,0.413
2011,7/27/11,5,6,ILEGLA,5,4.333,,,,0.100,0.045,96.282,0.450
2011,7/27/11,5,6,LYOLUC,1,11.131,,,,0.290,0.139,80.081,0.479
2011,7/27/11,5,6,LYOLUC,2,16.794,,,,0.400,0.185,90.777,0.463
2011,7/27/11,5,6,LYOLUC,3,19.526,,,,0.510,0.230,84.897,0.451
2011,7/27/11,5,6,LYOLUC,4,16.310,,,,0.580,0.282,57.838,0.486
2011,7/27/11,5,6,LYOLUC,5,16.454,,,,0.420,0.184,89.422,0.438
2011,7/27/11,5,6,OXYARB,1,22.719,,,,0.370,0.119,190.913,0.322
2011,7/27/11,5,6,OXYARB,2,42.404,,,,0.730,0.240,176.683,0.329
2011,7/27/11,5,6,OXYARB,3,43.433,,,,0.680,0.234,185.613,0.344
2011,7/27/11,5,6,OXYARB,4,35.526,,,,0.580,0.177,200.712,0.305
2011,7/27/11,5,6,OXYARB,5,48.759,,,,0.840,0.259,188.259,0.308
